model,key,image,category,latency,regions,chars,mean_conf,n_tables
PP-OCRv6_small,ocrv6_small,agenda_01.jpg,agenda,1.325,29,180,0.9826,0
PP-OCRv6_small,ocrv6_small,agenda_02.jpg,agenda,0.289,23,323,0.9978,0
PP-OCRv6_small,ocrv6_small,agenda_03.jpg,agenda,0.316,17,229,0.9981,0
PP-OCRv6_small,ocrv6_small,agenda_04.jpg,agenda,0.277,12,197,0.9994,0
PP-OCRv6_small,ocrv6_small,agenda_05.jpg,agenda,0.293,36,448,0.9942,0
PP-OCRv6_small,ocrv6_small,agenda_06.jpg,agenda,0.375,41,303,0.996,0
PP-OCRv6_small,ocrv6_small,agenda_07.jpg,agenda,0.529,56,551,0.9963,0
PP-OCRv6_small,ocrv6_small,agenda_08.jpg,agenda,0.393,40,1000,0.9951,0
PP-OCRv6_small,ocrv6_small,agenda_09.jpg,agenda,0.405,61,981,0.9933,0
PP-OCRv6_small,ocrv6_small,agenda_10.jpg,agenda,0.128,13,187,0.9785,0
PP-OCRv6_small,ocrv6_small,agenda_11.jpg,agenda,0.147,14,217,0.9995,0
PP-OCRv6_small,ocrv6_small,agenda_12.jpg,agenda,0.245,19,374,0.9735,0
PP-OCRv6_small,ocrv6_small,agenda_13.jpg,agenda,0.456,51,517,0.9986,0
PP-OCRv6_small,ocrv6_small,agenda_14.jpg,agenda,0.412,69,827,0.9962,0
PP-OCRv6_small,ocrv6_small,agenda_15.jpg,agenda,0.558,59,730,0.9949,0
PP-OCRv6_small,ocrv6_small,agenda_16.jpg,agenda,0.381,30,470,0.9904,0
PP-OCRv6_small,ocrv6_small,agenda_17.jpg,agenda,0.336,36,285,0.9979,0
PP-OCRv6_small,ocrv6_small,agenda_18.jpg,agenda,0.395,57,858,0.9799,0
PP-OCRv6_small,ocrv6_small,agenda_19.jpg,agenda,0.387,27,271,0.9963,0
PP-OCRv6_small,ocrv6_small,agenda_20.jpg,agenda,0.415,59,912,0.9908,0
PP-OCRv6_small,ocrv6_small,agenda_21.jpg,agenda,0.414,38,705,0.9814,0
PP-OCRv6_small,ocrv6_small,agenda_22.jpg,agenda,0.409,23,772,0.9871,0
PP-OCRv6_small,ocrv6_small,agenda_23.jpg,agenda,0.425,34,938,0.9913,0
PP-OCRv6_small,ocrv6_small,form_01.jpg,form,0.693,131,1911,0.9874,0
PP-OCRv6_small,ocrv6_small,form_02.jpg,form,0.231,41,304,0.9088,0
PP-OCRv6_small,ocrv6_small,form_03.jpg,form,0.496,56,1055,0.9744,0
PP-OCRv6_small,ocrv6_small,form_04.jpg,form,0.492,59,843,0.998,0
PP-OCRv6_small,ocrv6_small,form_05.jpg,form,0.705,122,2448,0.9733,0
PP-OCRv6_small,ocrv6_small,form_06.jpg,form,0.693,102,2006,0.9883,0
PP-OCRv6_small,ocrv6_small,form_07.jpg,form,0.342,41,724,0.9823,0
PP-OCRv6_small,ocrv6_small,form_08.jpg,form,1.124,119,2651,0.9865,0
PP-OCRv6_small,ocrv6_small,form_09.jpg,form,0.706,60,1251,0.9906,0
PP-OCRv6_small,ocrv6_small,form_10.jpg,form,0.921,90,1924,0.9963,0
PP-OCRv6_small,ocrv6_small,form_11.jpg,form,0.76,73,1341,0.9741,0
PP-OCRv6_small,ocrv6_small,form_12.jpg,form,0.431,62,1151,0.9786,0
PP-OCRv6_small,ocrv6_small,form_13.jpg,form,0.745,95,1815,0.9897,0
PP-OCRv6_small,ocrv6_small,form_14.jpg,form,0.718,134,2179,0.9876,0
PP-OCRv6_small,ocrv6_small,form_15.jpg,form,0.884,84,2203,0.978,0
PP-OCRv6_small,ocrv6_small,form_16.jpg,form,0.749,64,1648,0.9868,0
PP-OCRv6_small,ocrv6_small,form_17.jpg,form,0.586,77,1110,0.9884,0
PP-OCRv6_small,ocrv6_small,form_18.jpg,form,0.196,16,414,0.9911,0
PP-OCRv6_small,ocrv6_small,form_19.jpg,form,0.32,34,585,0.9906,0
PP-OCRv6_small,ocrv6_small,form_20.jpg,form,0.625,48,969,0.9823,0
PP-OCRv6_small,ocrv6_small,form_21.jpg,form,0.658,39,1365,0.9929,0
PP-OCRv6_small,ocrv6_small,form_22.jpg,form,0.745,130,2659,0.942,0
PP-OCRv6_small,ocrv6_small,form_23.jpg,form,0.6,58,1164,0.9413,0
PP-OCRv6_small,ocrv6_small,invoice_01.jpg,invoice,0.284,18,191,0.9985,0
PP-OCRv6_small,ocrv6_small,invoice_02.jpg,invoice,0.16,16,154,0.9965,0
PP-OCRv6_small,ocrv6_small,invoice_03.jpg,invoice,0.212,14,123,0.9978,0
PP-OCRv6_small,ocrv6_small,invoice_04.jpg,invoice,0.186,23,283,0.99,0
PP-OCRv6_small,ocrv6_small,invoice_05.jpg,invoice,0.526,68,704,0.9884,0
PP-OCRv6_small,ocrv6_small,invoice_06.jpg,invoice,0.313,20,305,0.9988,0
PP-OCRv6_small,ocrv6_small,invoice_07.jpg,invoice,0.178,28,313,0.9832,0
PP-OCRv6_small,ocrv6_small,invoice_08.jpg,invoice,0.379,28,444,0.9905,0
PP-OCRv6_small,ocrv6_small,invoice_09.jpg,invoice,0.308,21,246,0.9982,0
PP-OCRv6_small,ocrv6_small,invoice_10.jpg,invoice,0.196,22,348,0.972,0
PP-OCRv6_small,ocrv6_small,invoice_11.jpg,invoice,0.483,39,691,0.9927,0
PP-OCRv6_small,ocrv6_small,invoice_12.jpg,invoice,0.194,27,469,0.9779,0
PP-OCRv6_small,ocrv6_small,invoice_13.jpg,invoice,0.273,23,225,0.9626,0
PP-OCRv6_small,ocrv6_small,invoice_14.jpg,invoice,0.14,18,199,0.9955,0
PP-OCRv6_small,ocrv6_small,invoice_15.jpg,invoice,0.35,41,517,0.9981,0
PP-OCRv6_small,ocrv6_small,invoice_16.jpg,invoice,0.387,26,400,0.9919,0
PP-OCRv6_small,ocrv6_small,invoice_17.jpg,invoice,0.359,29,358,0.9935,0
PP-OCRv6_small,ocrv6_small,invoice_18.jpg,invoice,0.187,28,344,0.9785,0
PP-OCRv6_small,ocrv6_small,invoice_19.jpg,invoice,0.475,69,615,0.9967,0
PP-OCRv6_small,ocrv6_small,invoice_20.jpg,invoice,0.242,42,700,0.9907,0
PP-OCRv6_small,ocrv6_small,invoice_21.jpg,invoice,0.308,38,410,0.9855,0
PP-OCRv6_small,ocrv6_small,invoice_22.jpg,invoice,0.231,41,477,0.9909,0
PP-OCRv6_small,ocrv6_small,invoice_23.jpg,invoice,0.388,33,422,0.9728,0
PP-OCRv6_small,ocrv6_small,original_001.jpg,original,0.517,62,1136,0.992,0
PP-OCRv6_small,ocrv6_small,original_002.jpg,original,0.373,29,746,0.9791,0
PP-OCRv6_small,ocrv6_small,original_003.jpg,original,0.217,33,732,0.9898,0
PP-OCRv6_small,ocrv6_small,original_004.jpg,original,0.27,34,814,0.9673,0
PP-OCRv6_small,ocrv6_small,original_005.jpg,original,0.579,68,1833,0.9205,0
PP-OCRv6_small,ocrv6_small,original_006.jpg,original,0.819,133,3029,0.9933,0
PP-OCRv6_small,ocrv6_small,original_007.jpg,original,0.42,88,957,0.8834,0
PP-OCRv6_small,ocrv6_small,original_008.jpg,original,0.264,47,894,0.9832,0
PP-OCRv6_small,ocrv6_small,original_009.jpg,original,0.362,49,1177,0.9903,0
PP-OCRv6_small,ocrv6_small,original_010.jpg,original,0.378,64,938,0.9887,0
PP-OCRv6_small,ocrv6_small,original_011.jpg,original,0.202,24,538,0.989,0
PP-OCRv6_small,ocrv6_small,report_01.jpg,report,0.778,155,1304,0.9388,0
PP-OCRv6_small,ocrv6_small,report_02.jpg,report,0.792,187,1369,0.9958,0
PP-OCRv6_small,ocrv6_small,report_03.jpg,report,1.225,228,2633,0.9968,0
PP-OCRv6_small,ocrv6_small,report_04.jpg,report,0.272,32,316,0.9979,0
PP-OCRv6_small,ocrv6_small,report_05.jpg,report,0.571,135,890,0.9913,0
PP-OCRv6_small,ocrv6_small,report_06.jpg,report,0.553,129,994,0.9931,0
PP-OCRv6_small,ocrv6_small,report_07.jpg,report,0.177,22,255,0.9941,0
PP-OCRv6_small,ocrv6_small,report_08.jpg,report,0.506,94,760,0.995,0
PP-OCRv6_small,ocrv6_small,report_09.jpg,report,0.907,247,1093,0.9294,0
PP-OCRv6_small,ocrv6_small,report_10.jpg,report,0.857,114,2154,0.9503,0
PP-OCRv6_small,ocrv6_small,report_11.jpg,report,0.379,69,1209,0.9774,0
PP-OCRv6_small,ocrv6_small,report_12.jpg,report,0.848,232,1382,0.992,0
