model,key,image,category,word_P,word_R,word_F1,char_sim,vl_tables,model_tables,table_recall
PP-OCRv6_small,ocrv6_small,invoice_04.jpg,invoice,0.717391304347826,1.0,0.8354430379746834,0.8329896907216495,3,0,0.0
PP-OCRv6_small,ocrv6_small,invoice_05.jpg,invoice,0.7155172413793104,0.9222222222222223,0.8058252427184467,0.7915993537964459,2,0,0.0
PP-OCRv6_small,ocrv6_small,invoice_06.jpg,invoice,0.6818181818181818,0.9375,0.7894736842105263,0.803030303030303,1,0,0.0
PP-OCRv6_small,ocrv6_small,invoice_07.jpg,invoice,0.8723404255319149,0.803921568627451,0.8367346938775511,0.849445324881141,3,0,0.0
PP-OCRv6_small,ocrv6_small,invoice_08.jpg,invoice,0.6712328767123288,0.9423076923076923,0.784,0.6,1,0,0.0
PP-OCRv6_small,ocrv6_small,invoice_09.jpg,invoice,0.7096774193548387,1.0,0.8301886792452831,0.6407766990291263,1,0,0.0
PP-OCRv6_small,ocrv6_small,invoice_10.jpg,invoice,0.5918367346938775,0.6744186046511628,0.6304347826086958,0.33653846153846156,2,0,0.0
PP-OCRv6_small,ocrv6_small,invoice_11.jpg,invoice,0.8811881188118812,0.9081632653061225,0.8944723618090452,0.19216555801921656,3,0,0.0
PP-OCRv6_small,ocrv6_small,invoice_12.jpg,invoice,0.7605633802816901,0.7397260273972602,0.75,0.8259023354564756,2,0,0.0
PP-OCRv6_small,ocrv6_small,invoice_13.jpg,invoice,0.53125,1.0,0.6938775510204082,0.6646884272997032,2,0,0.0
PP-OCRv6_small,ocrv6_small,invoice_14.jpg,invoice,0.8666666666666667,0.896551724137931,0.8813559322033899,0.7905759162303665,1,0,0.0
PP-OCRv6_small,ocrv6_small,invoice_15.jpg,invoice,0.9113924050632911,0.972972972972973,0.9411764705882353,0.2082514734774067,2,0,0.0
PP-OCRv6_small,ocrv6_small,invoice_16.jpg,invoice,0.5333333333333333,0.7619047619047619,0.6274509803921569,0.44510385756676557,2,0,0.0
PP-OCRv6_small,ocrv6_small,invoice_17.jpg,invoice,0.9672131147540983,1.0,0.9833333333333333,0.04519774011299435,1,0,0.0
PP-OCRv6_small,ocrv6_small,invoice_18.jpg,invoice,0.42592592592592593,0.92,0.5822784810126582,0.608,1,0,0.0
PP-OCRv6_small,ocrv6_small,invoice_19.jpg,invoice,0.9803921568627451,0.9803921568627451,0.9803921568627451,0.791869918699187,1,0,0.0
PP-OCRv6_small,ocrv6_small,invoice_20.jpg,invoice,0.8363636363636363,1.0,0.9108910891089108,0.7665615141955836,2,0,0.0
PP-OCRv6_small,ocrv6_small,invoice_21.jpg,invoice,0.9014084507042254,0.9696969696969697,0.9343065693430657,0.6980891719745222,2,0,0.0
PP-OCRv6_small,ocrv6_small,invoice_22.jpg,invoice,0.9487179487179487,1.0,0.9736842105263158,0.7005405405405405,2,0,0.0
PP-OCRv6_small,ocrv6_small,invoice_23.jpg,invoice,0.5147058823529411,0.7142857142857143,0.5982905982905982,0.5258741258741259,1,0,0.0
PP-OCRv6_small,ocrv6_small,original_001.jpg,original,0.9254658385093167,0.9085365853658537,0.916923076923077,0.3706013363028953,1,0,0.0
PP-OCRv6_small,ocrv6_small,original_002.jpg,original,0.9166666666666666,0.9097744360902256,0.9132075471698113,0.8590604026845637,1,0,0.0
