image,category,word_P,word_R,word_F1,char_sim,vl_tables,model_tables,table_recall
agenda_01.jpg,agenda,0.8666666666666667,0.975,0.9176470588235294,0.9555555555555556,0,0,
agenda_02.jpg,agenda,0.8888888888888888,1.0,0.9411764705882353,0.940983606557377,1,1,1.0
agenda_03.jpg,agenda,1.0,0.9772727272727273,0.9885057471264368,0.9959514170040485,3,3,1.0
agenda_04.jpg,agenda,0.9259259259259259,1.0,0.9615384615384615,0.9549071618037135,1,1,1.0
agenda_05.jpg,agenda,1.0,1.0,1.0,1.0,4,3,0.75
agenda_06.jpg,agenda,0.5789473684210527,1.0,0.7333333333333334,0.6723044397463002,1,2,1.0
agenda_07.jpg,agenda,1.0,0.9893617021276596,0.9946524064171123,0.9981916817359855,1,1,1.0
agenda_08.jpg,agenda,0.9942857142857143,1.0,0.9971346704871061,0.9939698492462311,0,1,
agenda_09.jpg,agenda,0.9461077844311377,1.0,0.9723076923076923,0.9712493465760585,3,5,1.0
agenda_10.jpg,agenda,0.6875,1.0,0.8148148148148148,0.895774647887324,0,0,
agenda_11.jpg,agenda,0.5483870967741935,1.0,0.7083333333333333,0.7159763313609467,0,0,
agenda_12.jpg,agenda,0.984375,0.984375,0.984375,0.9973262032085561,1,1,1.0
agenda_13.jpg,agenda,0.9358974358974359,0.9733333333333334,0.954248366013072,0.974308300395257,2,2,1.0
agenda_14.jpg,agenda,0.8968253968253969,1.0,0.9456066945606695,0.7815384615384615,3,3,1.0
agenda_15.jpg,agenda,0.9508196721311475,1.0,0.9747899159663865,0.9696541990119972,4,2,0.5
agenda_16.jpg,agenda,0.7804878048780488,0.7901234567901234,0.7852760736196319,0.9437314906219151,0,0,
agenda_17.jpg,agenda,1.0,1.0,1.0,1.0,4,4,1.0
agenda_18.jpg,agenda,0.8368794326241135,0.921875,0.8773234200743494,0.8051341890315052,1,1,1.0
agenda_19.jpg,agenda,0.56,1.0,0.717948717948718,0.5803108808290155,4,4,1.0
agenda_20.jpg,agenda,0.9878787878787879,1.0,0.9939024390243903,0.9951794322442421,1,1,1.0
agenda_21.jpg,agenda,0.865979381443299,1.0,0.9281767955801106,0.819538670284939,0,0,
agenda_22.jpg,agenda,0.888,0.9910714285714286,0.9367088607594937,0.9477858559153999,0,0,
agenda_23.jpg,agenda,0.9662162162162162,0.9930555555555556,0.9794520547945206,0.9795698924731183,1,1,1.0
form_01.jpg,form,0.9244604316546763,0.9081272084805654,0.9162210338680927,0.733764553686934,2,2,1.0
form_02.jpg,form,0.2,1.0,0.33333333333333337,0.367816091954023,0,0,
form_03.jpg,form,0.9767441860465116,0.8527918781725888,0.910569105691057,0.7869003690036901,0,1,
form_04.jpg,form,0.9541984732824428,0.9328358208955224,0.9433962264150944,0.922077922077922,1,2,1.0
form_05.jpg,form,0.9015151515151515,0.9130434782608695,0.9072426937738246,0.5836909871244635,0,0,
form_06.jpg,form,0.016666666666666666,1.0,0.03278688524590164,0.03064755313890262,1,1,1.0
form_07.jpg,form,0.9347826086956522,0.9084507042253521,0.9214285714285715,0.8756756756756757,0,0,
form_08.jpg,form,0.8654292343387471,0.8477272727272728,0.8564867967853043,0.8960721668859237,1,1,1.0
form_09.jpg,form,0.9609756097560975,1.0,0.9800995024875622,0.510811913504692,4,4,1.0
form_10.jpg,form,0.8299319727891157,0.8905109489051095,0.8591549295774649,0.8858520900321544,4,5,1.0
form_11.jpg,form,0.6267281105990783,0.9577464788732394,0.757660167130919,0.43367122080211545,2,1,0.5
form_12.jpg,form,0.679144385026738,0.9407407407407408,0.7888198757763976,0.5068285280728376,1,1,1.0
form_13.jpg,form,0.9270833333333334,0.8929765886287625,0.9097103918228279,0.7927142124166239,1,5,1.0
form_14.jpg,form,0.975609756097561,0.9907120743034056,0.9831029185867896,0.9854872149274361,1,1,1.0
form_15.jpg,form,0.8897243107769424,0.8722358722358723,0.880893300248139,0.5877845391029975,2,3,1.0
form_16.jpg,form,0.18834080717488788,0.9545454545454546,0.3146067415730337,0.31905007743933916,0,0,
form_17.jpg,form,0.861271676300578,0.8097826086956522,0.8347338935574229,0.8714228133817009,1,5,1.0
form_18.jpg,form,0.922077922077922,1.0,0.9594594594594594,0.9591078066914498,0,0,
form_19.jpg,form,0.3655913978494624,0.9855072463768116,0.5333333333333333,0.3961617546264565,0,0,
form_20.jpg,form,0.9415204678362573,0.92,0.930635838150289,0.9210275927687916,4,5,1.0
form_21.jpg,form,0.5874439461883408,1.0,0.7401129943502824,0.3845102505694761,0,0,
form_22.jpg,form,0.7555555555555555,0.13765182186234817,0.2328767123287671,0.06241053535642714,1,0,0.0
form_23.jpg,form,0.7591623036649214,0.7837837837837838,0.7712765957446809,0.7771377935312361,1,1,1.0
invoice_01.jpg,invoice,0.9655172413793104,0.875,0.9180327868852458,0.8051282051282052,1,1,1.0
invoice_02.jpg,invoice,0.9230769230769231,0.96,0.9411764705882353,0.996742671009772,1,1,1.0
